Index,Company,Type_name,Ram,Weight,Price,Touchscreen,IPS,PPI,Cpu_brand,Gpu_brand,HDD,SSD,Hybrid,Flash_storage,OS
0,Apple,Ultrabook,8,1.37,785.17,0,1,226.98300468106115,Intel Core i5,Intel,0,128,0,0,Mac
1,Apple,Ultrabook,8,1.34,526.85,0,0,127.67794013309688,Intel Core i5,Intel,0,0,0,128,Mac
2,HP,Notebook,8,1.86,337.0,0,0,141.21199808219862,Intel Core i5,Intel,0,256,0,0,Others
3,Apple,Ultrabook,16,1.83,1487.15,0,1,220.53462386625827,Intel Core i7,AMD,0,512,0,0,Mac
4,Apple,Ultrabook,8,1.37,1057.05,0,1,226.98300468106115,Intel Core i5,Intel,0,256,0,0,Mac
5,Acer,Notebook,4,2.1,234.43,0,0,100.45466986113652,AMD Processor,AMD,500,0,0,0,Windows
6,Apple,Ultrabook,16,2.04,1254.19,0,1,220.53462386625827,Intel Core i7,Intel,0,0,0,256,Mac
7,Apple,Ultrabook,8,1.34,679.09,0,0,127.67794013309688,Intel Core i5,Intel,0,0,0,256,Mac
8,Asus,Ultrabook,16,1.3,876.19,0,0,157.3505121487356,Intel Core i7,Nvidia,0,512,0,0,Windows
9,Acer,Ultrabook,8,1.6,451.28,0,1,157.3505121487356,Intel Core i5,Intel,0,256,0,0,Windows
10,HP,Notebook,4,1.86,230.86,0,0,100.45466986113652,Intel Core i5,Intel,500,0,0,0,Others
11,HP,Notebook,4,1.86,202.19,0,0,141.21199808219862,Intel Core i3,Intel,500,0,0,0,Others
12,Apple,Ultrabook,16,1.83,1430.02,0,1,220.53462386625827,Intel Core i7,AMD,0,256,0,0,Mac
13,Dell,Notebook,4,2.2,292.4,0,0,141.21199808219862,Intel Core i3,AMD,0,256,0,0,Windows
14,Apple,Ultrabook,8,0.92,739.87,0,1,226.4155471693585,Other Intel Processor,Intel,0,256,0,0,Mac
15,Apple,Ultrabook,8,1.37,889.99,0,1,226.98300468106115,Intel Core i5,Intel,0,256,0,0,Mac
16,Dell,Notebook,8,2.2,436.63,0,0,141.21199808219862,Intel Core i7,AMD,0,256,0,0,Windows
17,Apple,Ultrabook,16,1.83,1675.02,0,1,220.53462386625827,Intel Core i7,AMD,0,512,0,0,Mac
18,Lenovo,Notebook,8,2.2,292.45,0,0,141.21199808219862,Intel Core i3,Nvidia,1000,0,0,0,Others
19,Dell,Ultrabook,8,1.22,573.77,1,1,165.6321180513006,Intel Core i5,Intel,0,128,0,0,Windows
21,Lenovo,Gaming,8,2.5,585.49,0,1,141.21199808219862,Intel Core i5,Nvidia,1000,128,0,0,Windows
22,HP,Notebook,4,1.86,151.21,0,0,100.45466986113652,AMD Processor,AMD,500,0,0,0,Others
23,Dell,2 in 1 Convertible,8,1.62,480.0,1,0,165.6321180513006,Intel Core i5,Intel,0,256,0,0,Windows
24,HP,Ultrabook,8,1.91,386.23,0,0,141.21199808219862,Intel Core i7,Intel,0,256,0,0,Windows
25,Dell,Notebook,4,2.3,245.36,0,0,100.45466986113652,Intel Core i3,Intel,1000,0,0,0,Windows
26,Apple,Ultrabook,8,1.35,644.1,0,0,127.67794013309688,Intel Core i5,Intel,0,0,0,128,Mac
27,Dell,Notebook,8,2.2,468.86,0,0,141.21199808219862,Intel Core i5,AMD,0,256,0,0,Windows
28,Dell,Ultrabook,8,1.88,760.73,0,0,141.21199808219862,Intel Core i7,Intel,0,512,0,0,Windows
29,HP,Notebook,8,2.5,525.13,0,0,127.33567457123112,Intel Core i5,Nvidia,1000,0,0,0,Windows
30,Chuwi,Notebook,4,1.89,143.58,0,0,141.21199808219862,Other Intel Processor,Intel,0,0,0,64,Windows
31,Asus,Notebook,2,1.65,116.63,0,0,111.93520355955212,AMD Processor,AMD,0,0,0,32,Windows
32,HP,Notebook,4,2.71,257.29,0,0,127.33567457123112,AMD Processor,AMD,500,0,0,0,Windows
33,Dell,Ultrabook,16,1.2,1095.38,1,0,276.053530085501,Intel Core i7,Intel,0,512,0,0,Windows
34,Apple,Ultrabook,8,1.35,584.91,0,0,127.67794013309688,Intel Core i5,Intel,0,0,0,256,Mac
35,Lenovo,Notebook,4,1.44,145.93,0,0,111.93520355955212,Other Intel Processor,Intel,0,0,0,64,Windows
36,Acer,Notebook,4,2.1,215.09,0,0,100.45466986113652,Intel Core i3,Intel,1000,0,0,0,Others
37,Dell,Notebook,8,2.8,573.77,0,1,127.33567457123112,Intel Core i5,AMD,1000,128,0,0,Windows
38,HP,Notebook,4,1.86,286.41,0,0,100.45466986113652,Intel Core i5,Intel,1000,0,0,0,Windows
39,HP,Notebook,8,2.1,515.16,0,0,141.21199808219862,Intel Core i5,Nvidia,0,256,0,0,Windows
40,Asus,Notebook,4,2.0,227.99,0,0,141.21199808219862,Intel Core i3,Intel,1000,0,0,0,Others
41,Dell,Gaming,16,2.65,878.53,0,1,141.21199808219862,Intel Core i7,Nvidia,1000,256,0,0,Windows
42,Asus,Notebook,8,2.3,306.51,0,0,100.45466986113652,Intel Core i5,Nvidia,1000,0,0,0,Others
43,Acer,Notebook,4,2.2,399.71,0,1,141.21199808219862,Intel Core i5,Intel,0,256,0,0,Windows
44,Dell,2 in 1 Convertible,12,2.77,585.49,1,0,127.33567457123112,Intel Core i5,Nvidia,1000,0,0,0,Windows
45,Apple,Ultrabook,8,1.37,831.65,0,1,226.98300468106115,Intel Core i5,Intel,0,256,0,0,Mac
47,Asus,Gaming,8,3.2,761.32,0,0,127.33567457123112,AMD Processor,AMD,1000,256,0,0,Windows
48,Dell,Notebook,4,2.3,374.51,0,0,141.21199808219862,Intel Core i5,AMD,0,256,0,0,Windows
49,Asus,Notebook,4,2.8,273.11,0,0,90.58340172449304,Other Intel Processor,Nvidia,1000,0,0,0,Windows
51,Acer,Notebook,8,2.2,492.89,0,1,141.21199808219862,Intel Core i7,Nvidia,0,256,0,0,Windows
52,HP,Notebook,4,1.86,233.55,0,0,141.21199808219862,AMD Processor,AMD,0,256,0,0,Windows
53,HP,Notebook,8,1.49,646.45,0,0,165.6321180513006,Intel Core i7,Intel,0,512,0,0,Windows
54,Acer,Notebook,4,2.4,225.05,0,0,100.45466986113652,Intel Core i3,Intel,1000,0,0,0,Windows
55,Dell,Notebook,8,2.13,449.99,0,0,141.21199808219862,Intel Core i7,AMD,0,256,0,0,Windows
56,HP,Notebook,4,1.91,257.29,0,0,141.21199808219862,Intel Core i3,Intel,0,128,0,0,Windows
57,Asus,Notebook,4,2.0,343.55,0,0,100.45466986113652,Intel Core i5,Intel,0,256,0,0,Windows
58,MSI,Gaming,16,2.43,1435.31,0,0,127.33567457123112,Intel Core i7,Nvidia,2000,256,0,0,Windows
59,Asus,Notebook,4,2.0,243.22,0,0,141.21199808219862,Intel Core i3,Intel,0,256,0,0,Others
60,Dell,Notebook,16,2.8,761.32,0,0,127.33567457123112,Intel Core i7,AMD,2000,256,0,0,Windows
61,Dell,Ultrabook,8,1.7,515.16,0,0,157.3505121487356,Intel Core i5,Intel,0,256,0,0,Windows
62,Lenovo,Notebook,8,1.7,351.06,0,1,157.3505121487356,Intel Core i3,Intel,0,256,0,0,Others
63,Asus,Notebook,8,1.4,551.5,0,0,157.3505121487356,Intel Core i5,Intel,0,256,0,0,Windows
64,HP,Notebook,8,1.86,404.4,0,0,141.21199808219862,Intel Core i5,Intel,0,256,0,0,Windows
65,Asus,Ultrabook,16,1.8,1162.2,0,0,141.21199808219862,Intel Core i7,Nvidia,0,512,0,0,Windows
66,HP,Notebook,4,1.86,257.11,0,0,100.45466986113652,Intel Core i3,AMD,500,0,0,0,Windows
67,HP,Notebook,4,1.44,134.21,0,0,111.93520355955212,Other Intel Processor,Intel,0,32,0,0,Windows
68,Lenovo,Notebook,4,1.9,321.76,0,0,141.21199808219862,Intel Core i5,Intel,1000,0,0,0,Windows
69,Asus,Gaming,12,3.0,556.19,0,0,127.33567457123112,Intel Core i7,Nvidia,1000,0,0,0,Others
70,Microsoft,Ultrabook,4,1.252,638.24,1,0,200.84255993695703,Intel Core i5,Intel,0,128,0,0,Windows
71,Dell,Ultrabook,64,1.4,559.71,0,1,165.6321180513006,Intel Core i7,AMD,0,256,0,0,Windows
72,Dell,Notebook,8,2.2,509.89,0,0,141.21199808219862,Intel Core i7,AMD,0,256,0,0,Windows
73,MSI,Gaming,8,2.7,641.76,0,0,127.33567457123112,Intel Core i5,Nvidia,1000,128,0,0,Windows
74,Acer,Notebook,8,2.1,227.99,0,0,111.93520355955212,Intel Core i3,Intel,1000,0,0,0,Windows
75,Asus,Gaming,8,2.2,556.19,0,0,141.21199808219862,Intel Core i7,Nvidia,1000,0,0,0,Windows
76,Lenovo,Notebook,8,2.2,304.18,0,0,141.21199808219862,Intel Core i5,Intel,2000,0,0,0,Others
77,Dell,Notebook,8,2.02,501.1,0,0,141.21199808219862,Intel Core i7,Intel,1000,128,0,0,Windows
78,Acer,Notebook,4,2.2,310.62,0,0,141.21199808219862,Intel Core i3,Nvidia,1000,0,0,0,Windows
79,HP,Notebook,8,2.5,572.6,0,0,127.33567457123112,Intel Core i5,Nvidia,1000,128,0,0,Windows
80,Dell,Ultrabook,8,1.88,642.44,0,1,141.21199808219862,Intel Core i5,Intel,0,256,0,0,Windows
81,Apple,Ultrabook,8,0.92,884.98,0,1,226.4155471693585,Intel Core i5,Intel,0,512,0,0,Mac
82,HP,Notebook,8,1.63,504.03,0,0,157.3505121487356,Intel Core i5,Intel,0,256,0,0,Windows
83,Lenovo,Notebook,4,2.2,233.85,0,0,141.21199808219862,AMD Processor,AMD,0,128,0,0,Windows
84,Acer,Notebook,4,2.1,231.5,0,0,100.45466986113652,AMD Processor,AMD,1000,0,0,0,Windows
85,Dell,Gaming,16,2.65,790.62,0,1,141.21199808219862,Intel Core i7,Nvidia,1000,128,0,0,Windows
86,HP,Ultrabook,8,1.83,409.67,0,1,141.21199808219862,Intel Core i7,Nvidia,0,256,0,0,Windows
87,HP,Notebook,8,1.96,351.06,0,0,141.21199808219862,Intel Core i5,Intel,0,256,0,0,Windows
88,Asus,Gaming,16,2.2,849.23,0,1,141.21199808219862,Intel Core i7,Nvidia,1000,128,0,0,Windows
89,Dell,Ultrabook,8,1.21,966.45,0,1,165.6321180513006,Intel Core i7,Intel,0,256,0,0,Windows
90,Asus,Gaming,8,2.45,409.67,0,0,141.21199808219862,AMD Processor,AMD,1000,0,0,0,Windows
91,Acer,Notebook,2,2.2,403.81,0,0,141.21199808219862,Intel Core i7,Nvidia,1000,0,0,0,Windows
92,HP,Notebook,16,1.49,701.54,0,0,165.6321180513006,Intel Core i7,Intel,0,512,0,0,Windows
93,Dell,Gaming,8,2.65,700.37,0,0,141.21199808219862,Intel Core i5,Nvidia,0,256,0,0,Windows
94,Asus,Ultrabook,8,1.25,614.8,0,0,157.3505121487356,Intel Core i7,Intel,0,256,0,0,Windows
95,Acer,2 in 1 Convertible,8,1.5,496.41,1,1,165.6321180513006,Intel Core i5,Intel,0,256,0,0,Windows
96,Dell,Notebook,8,2.2,351.59,0,0,141.21199808219862,Intel Core i7,AMD,1000,0,0,0,Others
97,Dell,Notebook,4,2.2,284.25,0,0,141.21199808219862,Intel Core i3,AMD,0,256,0,0,Others
98,Asus,Notebook,6,2.0,338.17,0,0,141.21199808219862,Intel Core i3,Nvidia,0,256,0,0,Windows
99,HP,Gaming,12,2.62,732.01,0,1,141.21199808219862,Intel Core i7,Nvidia,1000,128,0,0,Windows
100,HP,Notebook,8,1.91,421.39,0,0,141.21199808219862,Intel Core i7,AMD,0,256,0,0,Windows
101,HP,Notebook,4,2.1,204.54,0,0,141.21199808219862,AMD Processor,AMD,500,0,0,0,Windows
102,Dell,Notebook,8,2.2,379.19,0,0,141.21199808219862,Intel Core i5,AMD,1000,0,0,0,Others
103,HP,Ultrabook,8,1.38,655.82,0,1,165.6321180513006,Intel Core i7,Nvidia,0,256,0,0,Windows
104,Microsoft,Ultrabook,8,1.252,785.35,1,0,200.84255993695703,Intel Core i5,Intel,0,256,0,0,Windows
105,HP,Notebook,6,1.58,386.23,0,1,157.3505121487356,Intel Core i5,Nvidia,0,256,0,0,Windows
106,Lenovo,Notebook,4,1.85,243.16,0,0,141.21199808219862,Intel Core i3,Intel,1000,0,0,0,Windows
107,Asus,Ultrabook,8,1.3,699.19,0,1,157.3505121487356,Intel Core i7,Nvidia,0,256,0,0,Windows
108,MSI,Gaming,16,2.2,761.32,0,0,141.21199808219862,Intel Core i7,Nvidia,1000,256,0,0,Windows
109,Lenovo,Notebook,8,1.58,867.4,0,1,157.3505121487356,Intel Core i7,Intel,0,256,0,0,Windows
110,Asus,Ultrabook,16,1.5,739.63,0,0,141.21199808219862,Intel Core i7,Nvidia,1000,256,0,0,Windows
111,Dell,Ultrabook,8,1.23,808.2,1,0,276.053530085501,Intel Core i7,Intel,0,256,0,0,Windows
112,Lenovo,2 in 1 Convertible,8,1.37,819.93,1,1,165.6321180513006,Intel Core i5,Intel,0,256,0,0,Windows
113,HP,Notebook,4,1.63,423.15,0,1,111.93520355955212,Intel Core i5,Intel,500,0,0,0,Windows
114,Dell,Ultrabook,8,1.21,954.72,0,1,165.6321180513006,Intel Core i5,Intel,0,256,0,0,Windows
116,HP,Notebook,8,1.63,635.31,0,0,157.3505121487356,Intel Core i7,Intel,0,512,0,0,Windows
117,Dell,Notebook,8,2.16,662.46,0,1,141.21199808219862,Intel Core i7,Nvidia,1000,256,0,0,Windows
118,Asus,Notebook,4,2.0,330.55,0,0,127.33567457123112,Intel Core i3,Nvidia,1000,0,0,0,Windows
119,Asus,Notebook,8,1.7,655.24,0,0,141.21199808219862,Intel Core i7,Nvidia,0,256,0,0,Windows
120,Acer,Notebook,6,2.1,280.73,1,1,141.21199808219862,Intel Core i3,Intel,1000,0,0,0,Windows
121,MSI,Gaming,16,1.8,1313.7,0,0,141.21199808219862,Intel Core i7,Nvidia,2000,256,0,0,Windows
122,Lenovo,Notebook,8,2.2,368.64,0,0,141.21199808219862,Intel Core i5,Nvidia,0,256,0,0,Others
123,HP,Notebook,16,2.5,744.91,0,0,127.33567457123112,Intel Core i7,Nvidia,0,512,0,0,Windows
124,Acer,Notebook,4,2.1,264.32,0,0,100.45466986113652,AMD Processor,AMD,0,256,0,0,Windows
126,HP,Notebook,8,1.63,475.9,0,0,157.3505121487356,Intel Core i5,Intel,1000,0,0,0,Windows
127,Asus,Notebook,4,1.65,162.92,0,0,111.93520355955212,AMD Processor,AMD,0,64,0,0,Windows
128,Dell,Notebook,16,2.8,818.17,0,0,127.33567457123112,Intel Core i7,AMD,2000,256,0,0,Windows
